# SOURCE: https://www.doomworld.com/forum/topic/42446-a-list-of-textures/

Level MAP01
64. SW1SLAD
65. SW1STON1
66. SW1STRTN
67. SW1WOOD
68. SW2LION
69. WOOD1
70. WOOD3
71. WOOD5
72. WOODMET2

72 unique Textures used

== Flats ==

1. CEIL1_1
2. CEIL1_2
3. CEIL3_3
4. CEIL3_4
5. CEIL3_5
6. CEIL5_2
7. CRATOP1
8. DEM1_5
9. DEM1_6
10. F_SKY1
11. FLAT1
12. FLAT10
13. FLAT18
14. FLAT19
15. FLAT2
16. FLAT20
17. FLAT23
18. FLAT3
19. FLAT5_1
20. FLAT5_2
21. FLAT5_3
22. FLAT5_4
23. FLAT5_5
24. FLAT5_7
25. FLAT5_8
26. FLOOR0_3
27. FLOOR0_5
28. FLOOR0_6
29. FLOOR0_7
30. FLOOR1_7
31. FLOOR3_3
32. FLOOR6_1
33. FLOOR6_2
34. FLOOR7_1
35. FLOOR7_2
36. FWATER4
37. GATE2
38. LAVA4
39. MFLR8_1
40. MFLR8_2
41. MFLR8_3
42. MFLR8_4
43. NUKAGE3
44. RROCK02
45. RROCK04
46. RROCK16
47. RROCK17
48. RROCK18
49. TLITE6_1
50. TLITE6_5

50 unique Flats used

Level MAP20


== Textures ==

1. ASHWALL4
2. BIGDOOR6
3. BIGDOOR7
4. BROWNGRN
5. GSTONE1
6. MARBFACE
7. MARBGRAY
8. MARBLE3
9. METAL
10. METAL2
11. METAL3
12. METAL4
13. METAL5
14. METAL6
15. PLAT1
16. REDWALL
17. ROCK1
18. ROCK2
19. ROCK3
20. ROCK5
21. ROCKRED1
22. SKINEDGE
23. SKINSYMB
24. SP_HOT1
25. SP_ROCK1
26. STONE6
27. STONE7
28. SUPPORT3
29. SW1GARG
30. SW1HOT
31. SW1PANEL
32. SW1ROCK
33. TANROCK4
34. TANROCK5
35. TANROCK7
36. TEKGREN1
37. TEKGREN2
38. TEKGREN3
39. TEKGREN4
40. WOOD1

40 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL1_1
3. CEIL5_1
4. DEM1_1
5. DEM1_2
6. DEM1_3
7. DEM1_4
8. DEM1_5
9. F_SKY1
10. FLAT5_2
11. FLAT5_4
12. FLAT5_5
13. FLOOR1_6
14. FLOOR5_1
15. FLOOR6_1
16. FLOOR6_2
17. FLOOR7_1
18. GATE1
19. GATE2
20. GATE3
21. GATE4
22. LAVA4
23. MFLR8_2
24. MFLR8_3
25. MFLR8_4
26. RROCK09
27. RROCK13
28. RROCK17
29. RROCK19
30. SLIME15
31. SLIME16
32. STEP2
33. TLITE6_5

33 unique Flats used

Level MAP21


== Textures ==

1. BRICK2
2. BRWINDOW
3. BSTONE1
4. BSTONE2
5. BSTONE3
6. DOORBLU
7. DOORRED
8. doorstop
9. doortrak
10. DOORYEL
11. MARBLE1
12. metal
13. METAL2
14. METAL6
15. METAL7
16. MODWALL1
17. ROCK5
18. SP_ROCK1
19. STEPLAD1
20. STEPTOP
21. STUCCO1
22. support3
23. SW1BRNGN
24. SW1MET2
25. TANROCK8
26. TEKGREN2
27. WOOD1
28. WOOD10

28 unique Textures used

== Flats ==

1. CEIL3_2
2. CEIL5_1
3. CEIL5_2
4. F_SKY1
5. FLAT1_1
6. FLAT1_2
7. FLAT20
8. FLAT5_2
9. FLAT5_5
10. FLOOR0_1
11. FLOOR0_2
12. FLOOR0_7
13. FLOOR3_3
14. FLOOR4_6
15. FLOOR5_4
16. FLOOR6_1
17. FLOOR7_1
18. FWATER4
19. GATE4
20. MFLR8_3
21. NUKAGE3

21 unique Flats used

Level MAP22


== Textures ==

1. BIGDOOR4
2. BROWN96
3. BROWNGRN
4. BSTONE2
5. BSTONE3
6. COMPSPAN
7. DOOR3
8. DOORBLU2
9. DOORRED2
10. DOORTRAK
11. EXITDOOR
12. EXITSIGN
13. FIREBLU2
14. FIRELAV3
15. GSTGARG
16. GSTLION
17. GSTSATYR
18. MARBFAC3
19. MARBFAC4
20. MARBGRAY
21. MARBLE1
22. MARBLE2
23. METAL
24. METAL2
25. MIDGRATE
26. SHAWN2
27. SP_DUDE7
28. SPCDOOR4
29. STONE6
30. SUPPORT3
31. SW1BLUE
32. SW1EXIT
33. SW1MET2
34. SW2BLUE

34 unique Textures used

== Flats ==

1. CEIL5_1
2. CRATOP1
3. DEM1_5
4. F_SKY1
5. FLAT1
6. FLAT18
7. FLAT2
8. FLAT5
9. FLAT5_4
10. GATE3
11. LAVA3
12. NUKAGE1

12 unique Flats used

Level MAP23


== Textures ==

1. ASHWALL3
2. ASHWALL4
3. ASHWALL6
4. BIGDOOR5
5. BRICK7
6. BROWNHUG
7. BSTONE2
8. BSTONE3
9. CEMENT1
10. CEMENT3
11. CEMENT5
12. CEMENT6
13. CEMENT7
14. CEMENT9
15. doortrak
16. DOORYEL
17. EXITSIGN
18. METAL
19. METAL2
20. METAL3
21. METAL4
22. METAL5
23. METAL6
24. PANEL2
25. PANEL3
26. PANEL6
27. PANEL8
28. PANEL9
29. SKINMET2
30. SKSNAKE2
31. SPCDOOR3
32. STEP6
33. STONE6
34. STUCCO1
35. support2
36. support3
37. SW1MET2
38. SW1SATYR
39. SW2GARG
40. SW2SKIN
41. TANROCK8

41 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL3_2
3. CEIL5_1
4. CEIL5_2
5. CRATOP2
6. DEM1_5
7. F_SKY1
8. FLAT1
9. FLAT10
10. FLAT1_2
11. FLAT20
12. FLAT5
13. FLAT5_8
14. FLAT8
15. FLOOR0_1
16. FLOOR0_7
17. FLOOR3_3
18. FLOOR4_5
19. FLOOR5_2
20. FLOOR5_3
21. FLOOR7_1
22. GATE1
23. GATE2
24. GATE3
25. MFLR8_3
26. SFLR6_4
27. TLITE6_1
28. TLITE6_4
29. TLITE6_6

29 unique Flats used

Level MAP24


== Textures ==

1. ASHWALL3
2. ASHWALL4
3. BIGDOOR3
4. BIGDOOR7
5. BRNPOIS
6. BROWNGRN
7. COMPBLUE
8. DOORBLU2
9. DOORRED2
10. doortrak
11. EXITDOOR
12. FIREMAG3
13. GRAY7
14. LITE3
15. metal
16. METAL2
17. METAL3
18. METAL4
19. METAL5
20. METAL6
21. METAL7
22. MIDBRONZ
23. NUKEDGE1
24. NUKEPOIS
25. PIPES
26. PIPEWAL1
27. PIPEWAL2
28. SFALL4
29. SILVER1
30. SILVER2
31. SILVER3
32. SKIN2
33. SLADSKUL
34. SP_HOT1
35. step1
36. support2
37. support3
38. SW1BLUE
39. SW1COMP
40. SW2COMM
41. TANROCK3
42. TANROCK5
43. TANROCK8
44. TEKBRON1
45. TEKBRON2
46. TEKLITE2
47. TEKWALL4

47 unique Textures used

== Flats ==

1. CEIL1_2
2. CEIL4_2
3. CEIL4_3
4. CEIL5_1
5. CONS1_5
6. CONS1_7
7. CRATOP2
8. F_SKY1
9. FLAT1
10. FLAT10
11. FLAT14
12. FLAT20
13. FLAT22
14. FLAT23
15. FLAT5_3
16. FLAT5_4
17. FLAT5_5
18. FLOOR0_1
19. FLOOR0_2
20. FLOOR4_5
21. FLOOR4_8
22. FLOOR5_1
23. FLOOR7_1
24. FWATER4
25. GATE1
26. GATE2
27. GATE3
28. GATE4
29. LAVA4
30. NUKAGE3
31. RROCK19
32. SLIME14
33. STEP1
34. STEP2
35. TLITE6_4
36. TLITE6_5
37. TLITE6_6

37 unique Flats used

Level MAP25


== Textures ==

1. BFALL1
2. BIGDOOR7
3. DOORBLU2
4. doortrak
5. MARBFACE
6. MARBGRAY
7. MARBLE1
8. MARBLOD1
9. METAL
10. METAL2
11. METAL7
12. MIDBARS3
13. MIDBRN1
14. MIDSPACE
15. PANBLACK
16. PANCASE2
17. PANEL1
18. PANEL2
19. SP_DUDE7
20. SP_DUDE8
21. STEP5
22. STONE4
23. STONE6
24. SUPPORT3
25. SW1MARB

25 unique Textures used

== Flats ==

1. BLOOD1
2. CEIL5_2
3. DEM1_5
4. F_SKY1
5. FLAT1_1
6. FLAT5_4
7. FLAT5_5
8. FLOOR7_2
9. FWATER1
10. GATE2
11. GATE3
12. RROCK09
13. RROCK11
14. RROCK15
15. RROCK16
16. SLIME09
17. SLIME14
18. SLIME15
19. STEP2

19 unique Flats used

Level MAP26


== Textures ==

1. ASHWALL3
2. BIGDOOR4
3. BIGDOOR7
4. BRNSMAL2
5. BRONZE1
6. BRONZE2
7. DOORBLU
8. DOORRED
9. DOORTRAK
10. DOORYEL
11. EXITDOOR
12. LITE3
13. LITE5
14. MARBFAC4
15. MARBGRAY
16. METAL
17. METAL2
18. METAL3
19. METAL4
20. METAL5
21. METAL6
22. MIDGRATE
23. MODWALL1
24. ROCK4
25. ROCK5
26. SUPPORT3
27. SW1GARG
28. SW1GSTON
29. SW1LION
30. SW1MET2

30 unique Textures used

== Flats ==

1. CEIL5_2
2. F_SKY1
3. FLAT5_2
4. FLAT5_4
5. FLAT5_5
6. FLAT5_7
7. FLOOR7_1
8. FLOOR7_2
9. FWATER4
10. GATE1
11. GATE2
12. GATE3
13. LAVA4
14. MFLR8_2
15. MFLR8_3
16. MFLR8_4
17. NUKAGE3
18. TLITE6_1
19. TLITE6_5
20. TLITE6_6

20 unique Flats used

Level MAP27


== Textures ==

1. ASHWALL3
2. BIGBRIK1
3. BIGDOOR1
4. BIGDOOR6
5. BIGDOOR7
6. BRICK1
7. BRICK3
8. BRICK4
9. BRICK5
10. BRICKLIT
11. BSTONE2
12. BSTONE3
13. DOORBLU2
14. DOORRED2
15. doorstop
16. doortrak
17. DOORYEL2
18. EXITSIGN
19. GSTONE1
20. MARBFAC2
21. MARBFAC3
22. MARBFAC4
23. MARBFACE
24. MARBLE1
25. MARBLE2
26. metal
27. METAL2
28. METAL3
29. PANBLACK
30. PANBLUE
31. PANBOOK
32. PANBORD1
33. PANCASE1
34. PANCASE2
35. PANEL1
36. panel2
37. PANEL4
38. PANEL5
39. PANEL7
40. PANEL8
41. PIPE1
42. PIPE4
43. PIPE6
44. PIPES
45. PIPEWAL1
46. PIPEWAL2
47. REDWALL
48. ROCK3
49. silver1
50. SPCDOOR4
51. STEP6
52. STONE6
53. STUCCO3
54. support2
55. support3
56. SW1BLUE
57. SW1COMP
58. SW1GSTON
59. SW1MET2
60. SW1PANEL
61. TANROCK2
62. WOOD6
63. WOOD7
64. WOOD8
65. WOOD9
66. WOODMET1
67. WOODMET2
68. WOODMET3
69. WOODMET4
70. WOODVERT
71. ZIMMER1
72. ZIMMER3

72 unique Textures used

== Flats ==

1. CEIL5_1
2. CEIL5_2
3. CRATOP2
4. DEM1_5
5. DEM1_6
6. F_SKY1
7. FLAT10
8. FLAT1_2
9. FLAT20
10. FLAT23
11. FLAT4
12. FLAT5
13. FLAT5_2
14. FLAT5_5
15. FLAT8
16. FLOOR0_1
17. FLOOR0_2
18. FLOOR3_3
19. FLOOR4_5
20. FLOOR4_6
21. FLOOR4_8
22. FLOOR5_4
23. FLOOR6_1
24. FLOOR6_2
25. FLOOR7_2
26. GATE1
27. GATE2
28. LAVA4
29. NUKAGE3
30. TLITE6_1
31. TLITE6_6

31 unique Flats used

Level MAP28


== Textures ==

1. ASHWALL2
2. ASHWALL3
3. ASHWALL4
4. ASHWALL6
5. BFALL4
6. BIGDOOR5
7. BRONZE1
8. BRONZE2
9. BRONZE3
10. BRONZE4
11. BROWNHUG
12. CRACKLE2
13. CRACKLE4
14. DOORRED2
15. DOORTRAK
16. DOORYEL2
17. FIREBLU2
18. FIRELAVA
19. FIREMAG2
20. FIREWALL
21. MARBFAC3
22. MARBFAC4
23. MARBLE1
24. MARBLE2
25. metal
26. MIDBARS1
27. ROCK5
28. ROCKRED3
29. SKIN2
30. SKINCUT
31. SKINEDGE
32. SKINFACE
33. SKINMET1
34. SKINMET2
35. SKINSCAB
36. SKINSYMB
37. SKSNAKE1
38. SKSNAKE2
39. SKSPINE1
40. SKSPINE2
41. SP_FACE1
42. SP_HOT1
43. SPCDOOR1
44. STEP3
45. STEPTOP
46. support2
47. SUPPORT3
48. SW1WOOD
49. SW2SKIN
50. TANROCK4
51. WOOD1
52. WOOD4
53. WOOD5
54. WOOD6
55. WOOD8
56. ZIMMER5
57. ZIMMER7
58. ZIMMER8

58 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL3_3
3. CEIL3_4
4. CRATOP1
5. CRATOP2
6. F_SKY1
7. FLAT10
8. FLAT20
9. FLAT5_1
10. FLAT5_3
11. FLAT5_5
12. FLAT5_7
13. FLAT5_8
14. FLOOR1_6
15. FLOOR6_1
16. FLOOR6_2
17. FLOOR7_1
18. GATE3
19. LAVA4
20. RROCK01
21. RROCK02
22. RROCK03
23. RROCK04
24. RROCK08
25. RROCK10
26. RROCK12
27. RROCK14
28. RROCK15
29. RROCK16
30. RROCK17
31. RROCK18
32. SFLR6_1
33. SLIME12
34. SLIME13
35. SLIME14
36. SLIME16

36 unique Flats used

Level MAP29


== Textures ==

1. ASHWALL2
2. BIGDOOR6
3. BIGDOOR7
4. DOOR3
5. FIREMAG3
6. GSTONE1
7. GSTSATYR
8. LITE5
9. MARBFACE
10. MARBGRAY
11. MARBLE1
12. METAL
13. MIDGRATE
14. SP_DUDE1
15. SP_DUDE2
16. SP_DUDE4
17. SP_DUDE5
18. SP_FACE2
19. STONE4
20. STONE6
21. SUPPORT3
22. SW1GARG
23. SW1GSTON
24. SW1LION
25. SW1SATYR
26. SW1STON6
27. SW1WOOD
28. WOOD5
29. WOOD7
30. WOOD9
31. ZIMMER1
32. ZIMMER4

32 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL1_1
3. DEM1_5
4. DEM1_6
5. F_SKY1
6. FLAT10
7. FLAT5_1
8. FLAT5_2
9. FLAT5_3
10. FLAT5_4
11. FLAT5_5
12. FLOOR1_6
13. FLOOR7_1
14. GATE1
15. GATE2
16. GATE3
17. GATE4
18. LAVA4
19. MFLR8_2
20. MFLR8_3
21. MFLR8_4
22. RROCK16
23. SFLR6_1
24. TLITE6_4
25. TLITE6_5

25 unique Flats used

Level MAP30


== Textures ==

1. BRICK10
2. BRICK7
3. BRICK8
4. BRICK9
5. DBRAIN4
6. MARBFACE
7. metal
8. PIPE2
9. PIPE4
10. PIPE6
11. PIPES
12. PIPEWAL2
13. ROCK2
14. SFALL4
15. SK_LEFT
16. SK_RIGHT
17. SLOPPY1
18. SLOPPY2
19. SP_DUDE7
20. SP_DUDE8
21. SP_FACE1
22. SUPPORT3
23. SW1SKULL
24. ZZZFACE1
25. ZZZFACE2
26. ZZZFACE3
27. ZZZFACE4
28. ZZZFACE5
29. ZZZFACE6
30. ZZZFACE7
31. ZZZFACE8
32. ZZZFACE9

32 unique Textures used

== Flats ==

1. BLOOD3
2. GATE4
3. MFLR8_2
4. RROCK01
5. RROCK04
6. RROCK08
7. RROCK19
8. RROCK20
9. SLIME08
10. SLIME13
11. SLIME15
12. SLIME16

12 unique Flats used

Level MAP31


== Textures ==

1. BRICKLIT
2. BRONZE4
3. CEMENT9
4. doortrak
5. FIREBLU2
6. FIREWALL
7. GRAYVINE
8. MARBFAC2
9. MARBFAC3
10. MIDGRATE
11. STEP6
12. STONE7
13. SW1GRAY1
14. ZDOORF1
15. ZELDOOR
16. ZZWOLF1
17. ZZWOLF10
18. ZZWOLF2
19. ZZWOLF3
20. ZZWOLF4
21. ZZWOLF5
22. ZZWOLF6
23. ZZWOLF7
24. ZZWOLF9

24 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL4_2
3. CEIL5_1
4. FLAT1
5. FLAT10
6. FLAT1_2
7. FLAT20
8. FLAT5_2
9. FLAT5_3
10. FLAT5_4
11. FLAT5_5
12. FWATER4
13. MFLR8_3

13 unique Flats used

Level MAP32


== Textures ==

1. SILVER1
2. SW1COMM
3. TANROCK5
4. ZDOORB1
5. ZDOORF1
6. ZZWOLF1
7. ZZWOLF10
8. ZZWOLF11
9. ZZWOLF12
10. ZZWOLF13
11. ZZWOLF2
12. ZZWOLF3

12 unique Textures used

== Flats ==

1. BLOOD3
2. CEIL4_1
3. F_SKY1
4. FLAT2
5. FLAT20
6. FLAT23
7. FLOOR0_3
8. TLITE6_1
9. TLITE6_5

9 unique Flats used
